oare_id,parent_oare_id,chunk_index,chunk_mode,is_short_aligned,reference,raw_prediction,recommended_prediction,incumbent_prediction,parent_id,raw_count,is_hard_parent
fded4d2f-81a5-45b3-8d62-74e5ffb2e159__c2of2,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,1,ratio,,"in the house of Issu-arik, and which the sons of Iddin-abum seized - in accordance with the tablet with a verdict of the City that Kakuwa brought, Enna-Suen and Anuli must not raise claim against Šalim-Aššur with respect to these goods.",In accordance with the tablet with a verdict of the City that Kakuwa brought Enna-Suen and Anuli must not raise claims to those goods against Šalim-Aššur.,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,4,False
91aa354c-08f3-4527-9b13-ef6360b39118__c2of2__gc1of1,91aa354c-08f3-4527-9b13-ef6360b39118,0,short_aligned_gale_church,True,3333 mina to the office of the colony Raise it with your father there I furthermore gave you a year ago 1 fine robe Its price was 0 3333 mina 5 shekels of silver,"To copper and 3 shekels of silver for his small goods, 3 shekels of silver <gap> I gave to Aluwa. I paid 4.5 shekels of silver, the fees from the City when he returned. <gap> minas of sickles, 3 shekels for his expenses…",Seal of 0.3333 mina 5 shekels of silver from the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds,Seal of 0.3333 mina 5 shekels of silver from the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds of the proceeds,91aa354c-08f3-4527-9b13-ef6360b39118,5,False
20bb1e14-ee80-4666-ba0d-4fd9a78ca4b7__c2of6__gc1of1,20bb1e14-ee80-4666-ba0d-4fd9a78ca4b7,0,short_aligned_gale_church,True,"tablet of the investment Šalim-Aššur made to you, that very tablet is in the eponym's possession, so pay the silver and the accrued profit, let it go to the eponym and then he can give the tablet concerning your capital to your representatives","Investors of Šalim-Aššur may make demands Do this and dispatch the 2 tablets with verdicts of the City plus a copy of the testament, and hire an attorney and send Aluwa and the attorney as soon as possible",From Šalim-Aššur to Ali-ahum and the silver that Šalim-Aššur shall pay the silver and the silver and the silver will pay the silver and the silver will pay the silver and the silver,From Šalim-Aššur to Ali-ahum and the silver that Šalim-Aššur shall pay the silver and the silver and the silver will pay the silver and the silver will pay the silver and the silver,20bb1e14-ee80-4666-ba0d-4fd9a78ca4b7,6,True
b2a35edb-8f41-4666-b6ff-8e1aa4c1822c__c4of4__gc1of1,b2a35edb-8f41-4666-b6ff-8e1aa4c1822c,0,short_aligned_gale_church,True,Itūr-ilī gave 0 3333 mina of beads( ) plus 2 good to Ennam-Aššur for purchases From here and from there it will pass overland in the name of Itūr-Ilī In accordance with the certified tablet that I hold <gap>,To Itūr-ilī; seal of Enna-Suen.,"Seal of Itūr-ilī, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur","Seal of Itūr-ilī, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur, seal of Ennam-Aššur",b2a35edb-8f41-4666-b6ff-8e1aa4c1822c,4,True
04939319-b287-455f-9634-e86658e6e392__gc1of1,04939319-b287-455f-9634-e86658e6e392,0,short_aligned_gale_church,True,To Ahātum; seal of Ali-ahum and seal of Iddin-abum.,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.",Seal of Ali-ahum and Iddin-abum.,Seal of Ali-ahum and Iddin-abum.,04939319-b287-455f-9634-e86658e6e392,7,False
fded4d2f-81a5-45b3-8d62-74e5ffb2e159__c2of2__gc1of1,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,0,short_aligned_gale_church,True,"in the house of Issu-arik, and which the sons of Iddin-abum seized - in accordance with the tablet with a verdict of the City that Kakuwa brought, Enna-Suen and Anuli must not raise claim against Šalim-Aššur with respect to these goods.",In accordance with the tablet with a verdict of the City that Kakuwa brought Enna-Suen and Anuli must not raise claims to those goods against Šalim-Aššur.,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,From the City and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Issu-arik and Is,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,4,False
05083743-603f-48b5-a6c7-f089ed845d94__c2of4__gc1of1,05083743-603f-48b5-a6c7-f089ed845d94,0,short_aligned_gale_church,True,trouble and caused expenses of 1 mina of silver He has now dragged me before the City and by verdict of the City Ali-abum will take that silver and gold and Ali-abum will be responsible for Kannutum's interests,"Investors of Šalim-Aššur may make demands Do this and dispatch the 2 tablets with verdicts of the City plus a copy of the testament, and hire an attorney and send Aluwa and the attorney as soon as possible","To Ali-abum 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum ""","To Ali-abum 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum and Ali-abum sent 1 mina of refined silver to Ali-abum """,05083743-603f-48b5-a6c7-f089ed845d94,6,True
7920753f-4465-4f41-9c6c-596a88830e00__gc1of1,7920753f-4465-4f41-9c6c-596a88830e00,0,short_aligned_gale_church,True,"Seal of Adida; to Bēlum-bāni, Anupiya and Aluwa.",I gave 4.5 shekels of silver for the payment of his fees to Aluwa.,"Seal of Adida, seal of Belubani, Anupiya and Aluwa.","Seal of Adida, seal of Belubani, Anupiya and Aluwa.",7920753f-4465-4f41-9c6c-596a88830e00,4,False
7302777b-39c7-4e0d-8465-d67ce0b988f0__c2of2__gc1of1,7302777b-39c7-4e0d-8465-d67ce0b988f0,0,short_aligned_gale_church,True,) must set out and come and clear your father's house - so that you yourselves may then clear yourselves and the debt in silver to the City Hall does not grow large Set out and come 10 shekels of silver <gap> Aššur-taklāka <gap>,"It is important that you set out and leave the very day you hear my letter, before word <gap> It is important that you set out and leave the very day you hear my letter, before word <gap>",Seal of your silver and send me the silver to your silver and send me the silver to your silver and send me the silver to your silver and send me the silver to your silver and send me them 10 shekels of silver <gap>,Seal of your silver and send me the silver to your silver and send me the silver to your silver and send me the silver to your silver and send me the silver to your silver and send me them 10 shekels of silver <gap>,7302777b-39c7-4e0d-8465-d67ce0b988f0,6,True
5b638e2d-8cd9-41c5-891b-c6b8faeac1ea__gc1of1,5b638e2d-8cd9-41c5-891b-c6b8faeac1ea,0,short_aligned_gale_church,True,"1.5 shekel of silver, underweight, I added in the name of Azu the brother-in-law of Aluwa.",I gave 4.5 shekels of silver for the payment of his fees to Aluwa.,The 1.5 shekel of silver from Azu.,The 1.5 shekel of silver from Azu.,5b638e2d-8cd9-41c5-891b-c6b8faeac1ea,4,False
fb912375-cde1-4def-9393-264eb46b1462__c2of2__gc1of1,fb912375-cde1-4def-9393-264eb46b1462,0,short_aligned_gale_church,True,"So, sell either cheap or dear, set out and come I wait for you for my journey Also sell the donkeys and have the price of the donkeys be available in silver Pay attention and come here","The 14 minas <gap> 8.6666 shekels of silver is the price of tin, textiles and donkeys.",Seal of Uqaya and Amur-Aššur son of Šaliṭāb and Ali-ahum son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭā,Seal of Uqaya and Amur-Aššur son of Šaliṭāb and Ali-ahum son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭāb son of Šaliṭā,fb912375-cde1-4def-9393-264eb46b1462,5,False
fded4d2f-81a5-45b3-8d62-74e5ffb2e159__c1of2__gc1of1,fded4d2f-81a5-45b3-8d62-74e5ffb2e159,0,short_aligned_gale_church,True,"Seal of Kula brother of Šukkutum, seal of Puzur-Ti'amtum son of Ištar-pālil, seal of Ennam-Aššur son of Karria, seal of Enna-Suen son of Iddin-abum, seal of Anuli his brother. As to the goods belonging to Šalim-Aššur that were in hahhum",In accordance with the tablet with a verdict of the City that Kakuwa brought Enna-Suen and Anuli must not raise claims to those goods against Šalim-Aššur.,"Seal of Kula, seal of Kula, seal of Puzur-tiamtim, son of Ištar-palil, seal of Ennam-Suen son of Iddin-abum, seal of Anuli.","Seal of Kula, seal of Kula, seal of Puzur-tiamtim, son of Ištar-palil, seal of Ennam-Suen son of Iddin-abum, seal of Anuli.",fded4d2f-81a5-45b3-8d62-74e5ffb2e159,4,False
52725c0a-5322-4cc5-bc55-d8861df8b20e__c2of2__gc1of1,52725c0a-5322-4cc5-bc55-d8861df8b20e,0,short_aligned_gale_church,True,"Because of this silver I have been delayed here Check( ) the tablet and then send me word with the first transport about what is here, so I can give it <gap>",Send me word with the first transport Do not focus on taking all of the silver Kura will not pay <gap>,If you have not paid the silver and send me the silver to the silver and send me the silver to the silver and send me the silver to the silver and send me the silver to the silver and the silver <gap> the silver <gap> the silver <gap>,If you have not paid the silver and send me the silver to the silver and send me the silver to the silver and send me the silver to the silver and send me the silver to the silver and the silver <gap> the silver <gap> the silver <gap>,52725c0a-5322-4cc5-bc55-d8861df8b20e,4,False
c55ae352-1471-4715-8621-aaeed5b9b651__c3of3__gc1of1,c55ae352-1471-4715-8621-aaeed5b9b651,0,short_aligned_gale_church,True,"Send me word whether or not any silver has fallen into your hands If I do not depart, do not be angry with me Take care to send me word",Send me word with the first transport Do not focus on taking all of the silver Kura will not pay <gap>,If you have not paid the silver and you have not paid the silver and you have not paid the silver and you have not paid the silver and you have not paid the silver and you have not paid the silver,If you have not paid the silver and you have not paid the silver and you have not paid the silver and you have not paid the silver and you have not paid the silver and you have not paid the silver,c55ae352-1471-4715-8621-aaeed5b9b651,4,True
3a883563-aa24-454f-b0cc-710508f835e9__gc1of1,3a883563-aa24-454f-b0cc-710508f835e9,0,short_aligned_gale_church,True,Sealed by Šalim-Aššur; to Iddin-abum and Ennānum <gap>,To Šalim-Aššur; sealed by Man-mahir.,To Šalim-Aššur from Iddin-abum and Ennanum.,To Šalim-Aššur from Iddin-abum and Ennanum.,3a883563-aa24-454f-b0cc-710508f835e9,5,False
db42bf74-0679-423f-9d20-b8ab940583b4__c2of3__gc1of1,db42bf74-0679-423f-9d20-b8ab940583b4,0,short_aligned_gale_church,True,"not been able to return your favours May Aššur and the gods of friendship be my witnesses: For that silver, for at least 5 minas of silver I was able to listen to your words and I was able to return your favours","The silver to Zulu And you, until this very day you have kept silent Aššur and the god(s) of our father may witness <gap> give <gap>""",Seal of Aššur and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger,Seal of Aššur and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger Aššur and Ilī's dagger,db42bf74-0679-423f-9d20-b8ab940583b4,4,True
cc64a304-95c3-4d6a-a930-a676162da916__gc1of1,cc64a304-95c3-4d6a-a930-a676162da916,0,short_aligned_gale_church,True,Sealed by Man-mahir son of Amur-Ištar; to Ennam-Aššur.,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.",To Man-mahir son of Amur-Ištar.,To Man-mahir son of Amur-Ištar.,cc64a304-95c3-4d6a-a930-a676162da916,7,False
f8317e4a-b7c1-4a17-aed2-e93aef5aa2ff__c2of2__gc1of1,f8317e4a-b7c1-4a17-aed2-e93aef5aa2ff,0,short_aligned_gale_church,True,"You keep cheating me on the packing of the donkeys, yet I did rent the donkeys to you for 10 shekels of silver each Give me the silver, or I shall seize it from your silver There, know this """"","The 14 minas <gap> 8.6666 shekels of silver is the price of tin, textiles and donkeys.","Seal of Sarad-imittī and the silver to Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī","Seal of Sarad-imittī and the silver to Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī, seal of Sarad-imittī",f8317e4a-b7c1-4a17-aed2-e93aef5aa2ff,5,False
b2a35edb-8f41-4666-b6ff-8e1aa4c1822c__c3of4__gc1of1,b2a35edb-8f41-4666-b6ff-8e1aa4c1822c,0,short_aligned_gale_church,True,"of silver, and then Itūr-ilī will recieve the rest of the silver If he has not sold the iron Ennam-Aššur will return the iron to Itūr-ilī and Itūr-ilī will pay silver for it to Ennam-Aššur",To Itūr-ilī; seal of Enna-Suen.,Seal of Ennam-Aššur and Itūr-ilī son of Ennam-Aššur son of Ennam-Aššur son of Ennam-Aššur: 0.3333 mina of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silv,Seal of Ennam-Aššur and Itūr-ilī son of Ennam-Aššur son of Ennam-Aššur son of Ennam-Aššur: 0.3333 mina of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silver and 2 shekels of silv,b2a35edb-8f41-4666-b6ff-8e1aa4c1822c,4,True
4f5b30bb-cf10-4e98-b5d3-f6f23c507ece__c3of3__gc1of1,4f5b30bb-cf10-4e98-b5d3-f6f23c507ece,0,short_aligned_gale_church,True,"The very day you hear my letter you should set out and come and then let us settle accounts For 11 talents of good copper <gap> the certified tablet that Ṭāb-ṣill-Aššur <gap> to your father <gap>""","It is important that you set out and leave the very day you hear my letter, before word <gap> It is important that you set out and leave the very day you hear my letter, before word <gap>",Seal of 11 shekels of refined silver from the 11 shekels of refined silver from the price of 11 shekels of refined silver from the price of the price of the price of 11 shekels of refined silver from the price of the silver,Seal of 11 shekels of refined silver from the 11 shekels of refined silver from the price of 11 shekels of refined silver from the price of the price of the price of 11 shekels of refined silver from the price of the silver,4f5b30bb-cf10-4e98-b5d3-f6f23c507ece,6,True
44f8eb46-7002-4024-b96c-2a9e050b5e5c__c2of2__gc1of1,44f8eb46-7002-4024-b96c-2a9e050b5e5c,0,short_aligned_gale_church,True,"Ask for a donkey at a merchant's house Indicate the name of the merchant on the hem of the My dear brothers, take care to ship it with the very first transport","Send me 2 textiles, for I tore (mine), and 1 shekel of silver <gap> the container and the tabletbox <gap> they they entrusted to you <gap> as long as you do not see my eyes """,Seal of the silver and the silver and the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver,Seal of the silver and the silver and the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver and the silver will pay the silver,44f8eb46-7002-4024-b96c-2a9e050b5e5c,4,False
0bb53a4a-e190-4572-9793-bafd0010d596__c2of7__gc1of1,0bb53a4a-e190-4572-9793-bafd0010d596,0,short_aligned_gale_church,True,"and went to the City assembly, and the City gave a verdict as follows: if Šalim-Aššur owed silver abroad, it must be proved with his tablet and witnesses and he (the creditor) may then receive his silver from the funds available","Investors of Šalim-Aššur may make demands Do this and dispatch the 2 tablets with verdicts of the City plus a copy of the testament, and hire an attorney and send Aluwa and the attorney as soon as possible",Seal of habuluni and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur,Seal of habuluni and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur son of Ennam-Aššur and Ennam-Aššur,0bb53a4a-e190-4572-9793-bafd0010d596,6,True
1b7347d9-66f4-4f15-9a03-45fcad0a6c09__gc1of1,1b7347d9-66f4-4f15-9a03-45fcad0a6c09,0,short_aligned_gale_church,True,To Ali-ahum; seal of Amur-šarrassa.,"To Ennam-Aššur, sealed by Ali-ahum and <gap>-Ištar.",To Ali-ahum son of Amur-šarrasa <gap>,To Ali-ahum son of Amur-šarrasa <gap>,1b7347d9-66f4-4f15-9a03-45fcad0a6c09,7,False
a2966915-d4f4-4ccc-b4d4-9cf6ba4529df__c4of6__gc1of1,a2966915-d4f4-4ccc-b4d4-9cf6ba4529df,0,short_aligned_gale_church,True,"If they have not paid, he will add interest in accordance with the tariff of the colony Sealed by Šum-abiya son of Ibbi-Sīn, by Šu-Belum son of Ilī-kurub, by Salliya son of Iddin-Aššur, by",To Šalim-Aššur; sealed by Man-mahir.,"Seal of Amur-Ištar, 30 shekels of silver from Durhumit.","Seal of Amur-Ištar, 30 shekels of silver from Durhumit.",a2966915-d4f4-4ccc-b4d4-9cf6ba4529df,5,True
3d15cfe6-d25f-4d4a-bfe1-8129253ddefb__c2of2__gc1of1,3d15cfe6-d25f-4d4a-bfe1-8129253ddefb,0,short_aligned_gale_church,True,10 minas owed by hamalia <gap> 9 5 minas of copper owed by <gap> 2 minas owed by <gap>maya <gap>,"To copper and 3 shekels of silver for his small goods, 3 shekels of silver <gap> I gave to Aluwa. I paid 4.5 shekels of silver, the fees from the City when he returned. <gap> minas of sickles, 3 shekels for his expenses…",Seal of <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap>,Seal of <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap> 3 3333 minas of silver <gap>,3d15cfe6-d25f-4d4a-bfe1-8129253ddefb,5,False
8b7cde1e-f4fa-4a6f-a109-a81a1921ea16__c4of4__gc1of1,8b7cde1e-f4fa-4a6f-a109-a81a1921ea16,0,short_aligned_gale_church,True,"Urgent, set out and come since you have heard a letter with falsehoods","It is important that you set out and leave the very day you hear my letter, before word <gap> It is important that you set out and leave the very day you hear my letter, before word <gap>",If you have not paid the silver to the silver that you have not paid the silver and you have not paid the silver that you have not paid the silver and you have not paid the silver,If you have not paid the silver to the silver that you have not paid the silver and you have not paid the silver that you have not paid the silver and you have not paid the silver,8b7cde1e-f4fa-4a6f-a109-a81a1921ea16,6,True
26ebe582-a312-4b63-8138-b7a19b12f277__c3of5__gc1of1,26ebe582-a312-4b63-8138-b7a19b12f277,0,short_aligned_gale_church,True,"I said to myself: <gap> I shall clear my sister, clean her house and lighten up her darkened face "" But as for you, you never sent me word and never encouraged me On the day you hear my letter","The silver to Zulu And you, until this very day you have kept silent Aššur and the god(s) of our father may witness <gap> give <gap>""","Aššur and Ilī-bāni said: ""You have not paid the silver and send me the silver to you and send me the silver to you and send me the silver to you and send me the silver to you and send me the silver to you ""","Aššur and Ilī-bāni said: ""You have not paid the silver and send me the silver to you and send me the silver to you and send me the silver to you and send me the silver to you and send me the silver to you """,26ebe582-a312-4b63-8138-b7a19b12f277,4,True
29eb892b-4b02-479a-99e6-b0751948cdaf__c2of2__gc1of1,29eb892b-4b02-479a-99e6-b0751948cdaf,0,short_aligned_gale_church,True,Buy for the silver proceeds from the tin and let them stay put until my instructions arrive,"Send me 2 textiles, for I tore (mine), and 1 shekel of silver <gap> the container and the tabletbox <gap> they they entrusted to you <gap> as long as you do not see my eyes ""","Seal of the silver and send me the silver to the silver and send me the silver to the silver and send me the silver to the silver and send me the silver ""","Seal of the silver and send me the silver to the silver and send me the silver to the silver and send me the silver to the silver and send me the silver """,29eb892b-4b02-479a-99e6-b0751948cdaf,4,False
